MANCC,TENNCC,SODT,EMAIL,DIACHI
NCC0,ABC,987123456,abc.company@gmail.com,234 Đường Nguyễn Thị Định - Quận 7 - Thành phố Hồ Chí Minh
NCC1,XYZ,908765432,xyz@gmail.com,567 Đường Bạch Đằng - Quận Hai Châu - Đà Nẵng
NCC2,Sunshine,976543210,SE@gmail.com,890 Đường Nguyễn Văn Linh - Quận Long Biên - Hà Nội
NCC3,Bright,912345678,BSL@gmail.com,432 Đường Phan Chu Trinh - Quận Hải An - Hải Phòng
NCC4,Starlight,965432109,SI@gmail.com,678 Đường Trần Hưng Đạo - Quận Hồng Bàng - Hải Phòng
NCC5,Global,943210987,GTP@gmail.com,901 Đường Lê Duẩn - Quận Thanh Khê - Đà Nẵng
NCC6,Oceanic,932109876,OS@gmail.com,543 Đường Phạm Văn Đồng - Quận Bình Thủy - Cần Thơ
NCC7,Summit,954321098,SE@gmail.com,789 Đường Trần Phú - Quận Thủ Đức - Thành phố Hồ Chí Minh
NCC8,Elite,921098765,ESC@gmail.com,210 Đường Lê Lai - Quận Cẩm Lệ - Đà Nẵng
NCC9,Prime,998765432,PMG@gmail.com,987 Đường Nguyễn Công Trứ - Quận Bắc Từ Liêm - Hà Nội
