masv,mahp,diem
2405,001,9.0
2411,001,9.0
2402,002,8.2
2403,002,9.0
2406,002,6.0
2408,002,8.0
2412,002,8.6
2415,002,8.3
2410,003,8.0
2402,005,8.2
2403,005,9.2
2406,005,7.2
2408,005,9.0
2412,005,7.5
2402,006,9.6
2403,006,8.6
2412,006,8.1
2402,007,7.5
2403,007,8.0
2406,007,5.0
2408,007,8.0
2412,007,7.2
2403,008,9.5
2412,008,8.5
2405,009,8.5
2411,009,8.5
2401,010,8.0
2404,010,4.6
2409,010,8.6
2410,010,9.0
2413,010,8.6
2401,011,7.5
2404,011,7.5
2409,011,7.0
2410,011,8.5
2413,011,7.5
2401,012,8.3
2405,013,7.8
2409,013,8.0
2411,013,7.8
2415,013,9.0
2402,014,8.5
2403,014,8.1
2406,014,7.1
2408,014,9.1
2412,014,9.5
2402,015,9.1
2412,015,6.5
2402,016,7.3
2405,011,8.8
2403,016,9.5
2412,016,7.4
2402,017,7.5
2406,017,8.0
2408,017,7.0
2415,017,7.9
2402,018,8.2
2405,019,7.5
2407,019,7.8
2411,019,7.5
2414,019,7.9
2401,020,9.0
2404,020,6.0
2405,020,8.4
2407,020,8.2
2414,020,8.5
2401,021,7.6
2404,021,5.0
2405,021,7.0
2407,021,6.4
2413,021,8.0
2407,022,5.5
2414,022,7.3
2416,015,5.6
2416,012,4.5
2416,018,4.6
2417,007,6.8
2417,004,5.2
2417,016,7.1
2418,004,9.9
2418,021,7.7
2418,009,8.1
2418,007,7.3
2418,014,5.8
2419,007,8.3
2419,012,6.4
2420,002,9.9
2420,020,7.2
2420,006,5.0
2420,008,7.3
2420,005,5.8
2420,004,9.2
2421,016,5.1
2421,003,7.1
2421,006,8.4
2421,014,6.1
2421,002,9.1
2421,018,6.7
2422,012,8.3
2422,016,5.4
2422,008,4.7
2423,004,7.4
2423,019,6.1
2423,001,4.2
2424,018,6.2
2424,020,9.3
2425,019,4.5
2425,022,6.0
2425,018,8.7
2425,017,6.1
2426,018,9.3
2426,005,9.6
2426,001,8.3
2426,017,4.8
2426,002,9.2
2427,001,8.5
2427,016,8.3
2427,015,7.3
2427,010,9.8
2427,022,9.1
2428,011,8.5
2428,007,9.9
2428,004,5.3
2428,002,7.7
2428,019,5.2
2428,001,4.9
2429,018,9.3
2429,006,7.0
2429,002,8.5
2429,012,6.4
2430,005,7.3
2430,018,5.7
2430,020,4.9
2430,021,4.6
2430,014,7.3
2430,012,5.1
2431,021,4.1
2431,017,8.9
2431,011,6.6
2431,003,7.3
2432,011,5.9
2432,004,4.8
2432,014,8.1
2432,020,5.9
2432,016,7.1
2432,012,9.4
2433,001,5.7
2433,019,6.4
2433,021,6.1
2433,003,6.6
2434,019,5.3
2434,007,7.0
2435,016,4.8
2435,011,8.8
2435,010,4.1
2435,004,8.6
2435,012,7.7
2435,019,5.8
2436,006,9.3
2436,014,7.3
2437,021,9.3
2437,014,7.9
2437,020,8.5
2437,003,7.0
2437,013,4.7
2437,002,8.5
2438,016,9.8
2438,019,5.9
2438,022,8.4
2438,006,7.2
2438,015,4.2
2439,002,5.1
2439,001,6.7
2439,011,8.1
2439,008,9.1
2440,005,5.5
2440,016,7.0
2441,011,4.1
2441,014,8.6
2442,008,6.2
2442,002,6.8
2443,020,4.3
2443,008,5.7
2444,014,4.4
2444,019,7.2
2444,016,5.6
2444,002,8.2
2444,011,4.3
2444,006,6.8
2445,012,4.4
2445,004,4.2
